case,cores,route,status,makespan_cycles,solver_wall_seconds,evaluation_wall_seconds,ddr_bytes,extra_ddr_bytes,spill_bytes,cache_hit_rate,official_A_baseline,speedup
015,3,component_envelope,ok,57529,0.2828133750008419,0.30354445800185204,1099654,215040,0,,177362,3.083001616575988
015,4,component_envelope,ok,56886,0.28787608302081935,0.2881322920147795,1115782,231168,0,,177362,3.117849734556833
015,5,component_envelope,ok,40828,0.2847807499929331,0.28455404200940393,1202566,317952,0,,177362,4.344126579798178
016,1,component_envelope,ok,7715523,0.5645247920183465,6.427759166981559,393218,0,0,,7715523,1.0
016,2,vector_arrival,ok,4027481,1.101328167016618,3.829621417011367,402362,9144,0,,7715523,1.9157192796191962
016,3,vector_arrival,ok,2888271,1.3976095829857513,5.019132000015816,405410,12192,0,,7715523,2.671329317782161
016,4,dag_eft,ok,2250687,0.8415282089845277,4.477187207987299,932770,539552,0,,7715523,3.4280746278802874
016,5,dag_eft,ok,2240622,0.8349649580195546,4.478106249996927,674854,281636,0,,7715523,3.4434737318476745
017,1,component_envelope,ok,130072,0.3200344589713495,0.2848021670070011,643862,0,0,,162810,1.2516913709330217
017,2,component_envelope,ok,67524,0.28190037500462495,0.2841801670147106,731414,87552,0,,162810,2.4111427048160654
017,3,component_envelope,ok,42600,0.28330504198675044,0.3115989579819143,815510,171648,0,,162810,3.821830985915493
017,4,component_envelope,ok,31517,0.2861857499810867,0.28472225001314655,893846,249984,0,,162810,5.165783545388203
017,5,component_envelope,ok,28510,0.2846243749954738,0.2845896249928046,973334,329472,0,,162810,5.710627849877236
018,1,component_envelope,ok,1020703,0.27961812500143424,0.5686598749889527,2407952,815104,815104,,1004367,0.9839953443851933
018,2,component_envelope,ok,492735,0.28044183398014866,0.566310499998508,3113488,1520640,221184,,1004367,2.0383512435690583
018,3,component_envelope,ok,339568,0.2823485830158461,0.563368208007887,4101648,2508800,40960,,1004367,2.957778707063092
018,4,component_envelope,ok,254215,0.28150258300593123,0.5616257499787025,5360144,3767296,0,,1004367,3.950856558424955
018,5,component_envelope,ok,196504,0.2848744170041755,0.565384040994104,6299152,4706304,0,,1004367,5.111178398404104
019,1,component_envelope,ok,64148,0.2842605839832686,0.2788670409936458,186984,0,0,,81144,1.264949803579223
019,2,component_envelope,ok,36156,0.2842549580091145,0.2845540000125766,214152,27168,0,,81144,2.2442748091603053
019,3,component_envelope,ok,25044,0.2818092920060735,0.28282833300181665,211560,24576,0,,81144,3.2400574988021082
019,4,component_envelope,ok,24243,0.2860987090098206,0.28253579101874493,238728,51744,0,,81144,3.3471105061254796
019,5,component_envelope,ok,24346,0.28734783400432207,0.2818020420090761,263304,76320,0,,81144,3.3329499712478436
020,1,component_envelope,ok,532746,0.28532383299898356,1.4037913329957519,2359296,0,0,,532746,1.0
020,2,component_envelope,ok,266828,0.284705166995991,1.1202131249883678,2359296,0,0,,532746,1.996589563314195
