case,cores,method,baseline,makespan,speedup,baseline_cycles,makespan_cycles,observed_speedup,plot_speedup,attempt_id,revision
030,2,p1_v4_a0537aeb,2808034,1398487,2.007908546879592,2808034,1398487,2.007908546879592,2.007908546879592,nikolastarx-20260924T1952Z-s59ee-P1-030-k2-r0,1
030,3,p1_v4_a0537aeb,2808034,933857,3.0069207598165457,2808034,933857,3.0069207598165457,3.0069207598165457,nikolastarx-20260924T1952Z-s59ee-P1-030-k3-r0,1
030,4,p1_v4_a0537aeb,2808034,700342,4.009518206818954,2808034,700342,4.009518206818954,4.009518206818954,nikolastarx-20260924T1952Z-s59ee-P1-030-k4-r0,1
030,5,p1_v4_a0537aeb,2808034,561102,5.004498290863337,2808034,561102,5.004498290863337,5.004498290863337,nikolastarx-20260924T1952Z-s59ee-P1-030-k5-r0,1
031,1,p1_v4_a0537aeb,1414369,1405775,1.006113353843965,1414369,1405775,1.006113353843965,1.0,nikolastarx-20260924T1952Z-s59ee-P1-031-k1-r0,1
031,2,p1_v4_a0537aeb,1414369,737122,1.9187719264924938,1414369,737122,1.9187719264924938,1.9187719264924938,nikolastarx-20260924T1952Z-s59ee-P1-031-k2-r0,1
031,3,p1_v4_a0537aeb,1414369,485202,2.9150106553559136,1414369,485202,2.9150106553559136,2.9150106553559136,nikolastarx-20260924T1952Z-s59ee-P1-031-k3-r0,1
031,4,p1_v4_a0537aeb,1414369,390498,3.6219622123544806,1414369,390498,3.6219622123544806,3.6219622123544806,nikolastarx-20260924T1952Z-s59ee-P1-031-k4-r0,1
031,5,p1_v4_a0537aeb,1414369,306213,4.618905794332703,1414369,306213,4.618905794332703,4.618905794332703,nikolastarx-20260924T1952Z-s59ee-P1-031-k5-r0,1
032,1,p1_v4_a0537aeb,41443,41443,1.0,41443,41443,1.0,1.0,nikolastarx-20260924T1952Z-s59ee-P1-032-k1-r0,1
