batch,problem,case_id,cores,status,makespan_cycles,singlecore_cycles,speedup,solver_wall_seconds,evaluation_wall_seconds,ddr_bytes,extra_ddr_bytes,spill_bytes,cache_hit_rate,cache_speedup,algorithm_id,source,case_no
A-farmer-q1-v3,P1,029,5,ok,9805.0,,3.830188679245283,13.48,,438368.0,8204.0,,,,q1-propose-e0,703fed17 (feed 638c565a),29
A-farmer-q1-v3,P1,029,1,ok,37555.0,,1.0,,0.462,,,,,,official-singlecore,703fed17 (feed 638c565a),29
A-farmer-q1-v3,P1,030,2,ok,2808034.0,,1.0,82.86,,7913420.0,5519360.0,,,,q1-propose-e0,703fed17 (feed 638c565a),30
A-farmer-q1-v3,P1,030,3,ok,2808034.0,,1.0,83.5,,7913420.0,5519360.0,,,,q1-propose-e0,703fed17 (feed 638c565a),30
A-farmer-q1-v3,P1,030,4,ok,2655698.0,,1.0573619440162247,85.42,,106649564.0,104255504.0,,,,q1-propose-e0,703fed17 (feed 638c565a),30
A-farmer-q1-v3,P1,030,5,ok,2602014.0,,1.079177129715674,88.9,,106649564.0,104255504.0,,,,q1-propose-e0,703fed17 (feed 638c565a),30
A-farmer-q1-v3,P1,030,1,ok,2808034.0,,1.0,,22.434,,,,,,official-singlecore,703fed17 (feed 638c565a),30
A-farmer-q1-v3,P1,031,2,ok,715350.0,,1.9771706157824842,61.0,,12769616.0,10584576.0,,,,q1-propose-e0,703fed17 (feed 638c565a),31
A-farmer-q1-v3,P1,031,3,ok,478491.0,,2.955894677224859,61.32,,14204240.0,12019200.0,,,,q1-propose-e0,703fed17 (feed 638c565a),31
A-farmer-q1-v3,P1,031,4,ok,371142.0,,3.810856761024082,61.19,,15466832.0,13281792.0,,,,q1-propose-e0,703fed17 (feed 638c565a),31
A-farmer-q1-v3,P1,031,5,ok,1414369.0,,1.0,63.66,,5676368.0,3491328.0,,,,q1-propose-e0,703fed17 (feed 638c565a),31
A-farmer-q1-v3,P1,031,1,ok,1414369.0,,1.0,,9.543,,,,,,official-singlecore,703fed17 (feed 638c565a),31
A-farmer-q1-v3,P1,032,2,ok,21288.0,,1.9467775272453964,14.15,,299304.0,6216.0,,,,q1-propose-e0,703fed17 (feed 638c565a),32
A-farmer-q1-v3,P1,032,3,ok,14487.0,,2.8607026989714917,14.76,,305520.0,12432.0,,,,q1-propose-e0,703fed17 (feed 638c565a),32
A-farmer-q1-v3,P1,032,4,ok,11490.0,,3.606875543951262,14.24,,311664.0,18576.0,,,,q1-propose-e0,703fed17 (feed 638c565a),32
A-farmer-q1-v3,P1,032,5,ok,9856.0,,4.204849837662338,14.68,,305520.0,12432.0,,,,q1-propose-e0,703fed17 (feed 638c565a),32
A-farmer-q1-v3,P1,032,1,ok,41443.0,,1.0,,0.396,,,,,,official-singlecore,703fed17 (feed 638c565a),32
A-farmer-q1-v3,P1,033,2,ok,888121.0,,1.9976962598564836,57.6,,14538510.0,11565600.0,,,,q1-propose-e0,703fed17 (feed 638c565a),33
A-farmer-q1-v3,P1,033,3,ok,594585.0,,2.9839232405795637,59.53,,14667054.0,11694144.0,,,,q1-propose-e0,703fed17 (feed 638c565a),33
A-farmer-q1-v3,P1,033,4,ok,445946.0,,3.978499638969741,60.87,,14198094.0,11225184.0,,,,q1-propose-e0,703fed17 (feed 638c565a),33
A-farmer-q1-v3,P1,033,5,ok,358630.0,,4.94714887209659,60.66,,14689134.0,11716224.0,,,,q1-propose-e0,703fed17 (feed 638c565a),33
A-farmer-q1-v3,P1,033,1,ok,1774196.0,,1.0,,2.783,,,,,,official-singlecore,703fed17 (feed 638c565a),33
A-farmer-q1-v3,P1,034,2,ok,416527.0,,2.0238688008220356,60.02,,7366594.0,5086208.0,,,,q1-propose-e0,703fed17 (feed 638c565a),34
A-farmer-q1-v3,P1,034,3,ok,276135.0,,3.0528400963296938,60.78,,7540674.0,5260288.0,,,,q1-propose-e0,703fed17 (feed 638c565a),34
A-farmer-q1-v3,P1,034,4,ok,205833.0,,4.095533757949406,60.56,,7110082.0,4829696.0,,,,q1-propose-e0,703fed17 (feed 638c565a),34
A-farmer-q1-v3,P1,034,5,ok,169504.0,,4.973310364357183,60.62,,7260098.0,4979712.0,,,,q1-propose-e0,703fed17 (feed 638c565a),34
A-farmer-q1-v3,P1,034,1,ok,842996.0,,1.0,,2.645,,,,,,official-singlecore,703fed17 (feed 638c565a),34
A-farmer-q1-v3,P1,035,2,ok,95406.0,,1.7773620107750037,60.7,,420070.0,9216.0,,,,q1-propose-e0,703fed17 (feed 638c565a),35
A-farmer-q1-v3,P1,035,3,ok,95424.0,,1.77702674379611,60.41,,420070.0,9216.0,,,,q1-propose-e0,703fed17 (feed 638c565a),35
A-farmer-q1-v3,P1,035,4,ok,95442.0,,1.7766916032773832,61.5,,420070.0,9216.0,,,,q1-propose-e0,703fed17 (feed 638c565a),35
A-farmer-q1-v3,P1,035,5,ok,95442.0,,1.7766916032773832,61.14,,420070.0,9216.0,,,,q1-propose-e0,703fed17 (feed 638c565a),35
