case,cores,method,baseline,makespan,speedup,source_commit,result_sha256
028,2,tensor,43836040,20922431,2.095169533597697,178a3673bd238b20772211427b8134b6db35f5af,b09bd62ba8cee197c92c824464ca76ea505691ba45ad208c933d5e4bf08c87d9
029,2,tensor,37555,19818,1.8949944494903623,178a3673bd238b20772211427b8134b6db35f5af,8fa05bc2907e8ae13f3960712edea5a39325fd126b6c6cf8a409fe6240675aa3
030,2,tensor,2808034,1389315,2.02116438676614,178a3673bd238b20772211427b8134b6db35f5af,7d6251001533e966da839f916054b79723b42d0ae8d9694fdb528e852b7faa08
031,2,tensor,1414369,736991,1.9191129878112487,178a3673bd238b20772211427b8134b6db35f5af,e61d48d86820dd7fd8c4dafb09db40c12c1824e3840eb033edc23550ef2a168a
032,2,tensor,41443,17491,2.3693899719855924,178a3673bd238b20772211427b8134b6db35f5af,2fc24e6194f780b0adce58b18be3856b03eecfb7a72ae494ae926fc251846af2
033,2,tensor,1774196,910451,1.9487001497060248,178a3673bd238b20772211427b8134b6db35f5af,ace38ee3aba980e04b58e91be9410ada01c686c2c4206ea1af3cfc9f79b6d8e7
034,2,tensor,842996,413146,2.0404312277015872,178a3673bd238b20772211427b8134b6db35f5af,2cdc15b93637f879e4a451cab295fcc539878a1c6ecc4e13474ba7498b664a22
035,2,tensor,169571,88365,1.9189837605386748,178a3673bd238b20772211427b8134b6db35f5af,ee8c2f64ec833f81f3d21559690c07e7e52a77521518282da17f8b65bba2f4f8
036,2,tensor,931510,813784,1.1446649233703292,178a3673bd238b20772211427b8134b6db35f5af,a98d2ceaa727e6986873875be7e7689e46b9a60906d5fe8e81ec89d458d77a12
037,2,tensor,210001,105906,1.982899930126716,178a3673bd238b20772211427b8134b6db35f5af,d2f6220003bba969a70bd9c878b4d9cf0130bedaa2fd3b7269710156f3ac5f33
038,2,tensor,1364555,685421,1.9908275351936984,178a3673bd238b20772211427b8134b6db35f5af,9220b0bedb066fc720eca5e0d6bfd577e0580bf4746f88b33cb93c6cf93149af
039,2,tensor,1435262,698889,2.053633695765708,178a3673bd238b20772211427b8134b6db35f5af,cfecc103922f75ad030f79687a8351242efe00166cfddccb2487c9234eec3d58
040,2,tensor,253454,139285,1.819679075277309,178a3673bd238b20772211427b8134b6db35f5af,3cb2cf4b3dc85960c10a76a6b1ed4c8c189524113edc59f2b8ff46717a020771
041,2,tensor,6003957,2956796,2.0305617972968037,178a3673bd238b20772211427b8134b6db35f5af,7c489439a9fb7cfca7072624a698aad23bc43b14a1a6a5a4bc91ed26fa910db7
042,2,tensor,1686740,886247,1.9032391647023912,178a3673bd238b20772211427b8134b6db35f5af,9adc303030015eac645216591aaa0816258e326a6fa66b0e2dfa6978da64f50d
043,2,tensor,677656,323796,2.0928485836761417,178a3673bd238b20772211427b8134b6db35f5af,aba31f928dfb8c2acd3ddfffd12c90f8903bc3e90a52405107346511f998ce40
044,2,tensor,154407,44234,3.490685897725731,178a3673bd238b20772211427b8134b6db35f5af,c7a41fb49f64ab8d39f9b1c3b021d8e62640b8a42476bfeb9bfdf0c7da9e825a
045,2,tensor,125614,63059,1.99200748505368,178a3673bd238b20772211427b8134b6db35f5af,9766959e84003c1fbeb1b1122667eadc88a62675fc21d00777ad7cdabcdc2f86
046,2,tensor,276455,107524,2.571100405490867,178a3673bd238b20772211427b8134b6db35f5af,34a836389d185b6812fb0c255992fc51bda532a46c21b9059880370ac9b10890
047,2,tensor,326508,219729,1.4859577024425543,178a3673bd238b20772211427b8134b6db35f5af,b588b10492c07601266496b48a7ed07528ce5ace42956835cdf4bc1de543fdc1
048,2,tensor,222220,130908,1.6975280349558468,178a3673bd238b20772211427b8134b6db35f5af,cf63faedf3561494c0bee26b7a1e50732a1df791af544d6d65a68458ff7b6b76
049,2,tensor,196276,123071,1.5948192506764387,178a3673bd238b20772211427b8134b6db35f5af,5744756408bd2bf5740eb5a7a3bfc3cc07e96c15fd660d76b73b2c553c42e2d5
050,2,tensor,149690,102921,1.4544164942042925,178a3673bd238b20772211427b8134b6db35f5af,e49e1819bdd4a6a819262f8ad08b7330f3d570acdf281697b5172e2e733c135b
051,2,tensor,607628,341768,1.7778961166639358,178a3673bd238b20772211427b8134b6db35f5af,b936a2534efd6c014698373fc8738ba1c2c04864ebced1b62f2c79967a5a13eb
052,2,tensor,180301,91089,1.979393779709954,178a3673bd238b20772211427b8134b6db35f5af,5894ca8a0d3bae6d3ed00ef8ef4c0482f145d455d03124deb38ef25e2acc01c8
053,2,tensor,1472686,816230,1.8042537030003798,178a3673bd238b20772211427b8134b6db35f5af,1b7285a24426c1d7d583139f47549042ec0e020548a3adbb8aba38650c9aff46
054,2,tensor,815051,500695,1.627839303368318,178a3673bd238b20772211427b8134b6db35f5af,9b01d93717205634cf40e5f07c2388ae4364a2f04a467e587d9d79c85a4eec9f
055,2,tensor,118835,63716,1.86507313704564,178a3673bd238b20772211427b8134b6db35f5af,269940c33cf43d5df85b0635abee4eb02f01435731c4dc94674bed95e855bc41
