case,cores,upper,lower,certified,domain,gap
075,5,343930,225745,1,at most one eligible producer per original tensor,0.5235331901038782
076,1,6090538,6061746,1,at most one eligible producer per original tensor,0.004749786612636031
076,2,3046487,3030924,1,at most one eligible producer per original tensor,0.005134737789532107
076,3,2040164,2020650,1,at most one eligible producer per original tensor,0.009657288496276006
076,4,1525945,1515513,1,at most one eligible producer per original tensor,0.006883477739880739
076,5,1223373,1212431,1,at most one eligible producer per original tensor,0.009024843475628819
077,1,427102,415473,1,at most one eligible producer per original tensor,0.027989785136459
077,2,225243,207770,1,at most one eligible producer per original tensor,0.08409780045242332
077,3,167154,138536,1,at most one eligible producer per original tensor,0.2065744643991454
077,4,122380,103919,1,at most one eligible producer per original tensor,0.17764797582732705
077,5,113920,83149,1,at most one eligible producer per original tensor,0.37007059615870297
078,1,2061245,2038704,1,at most one eligible producer per original tensor,0.01105653395490469
078,2,1020602,1019760,1,at most one eligible producer per original tensor,0.0008256844747784875
078,3,710847,680112,1,at most one eligible producer per original tensor,0.04519108617404188
078,4,516480,510288,1,at most one eligible producer per original tensor,0.012134324146364506
078,5,477473,408394,1,at most one eligible producer per original tensor,0.16914793067478961
079,1,31304177,29424792,1,at most one eligible producer per original tensor,0.06387079983437105
