cores,gap,cdf
5,0.011273479351732618,0.09
5,0.016912142490152382,0.1
5,0.019535227639448927,0.11
5,0.019599056420761762,0.12
5,0.020220455314558183,0.13
5,0.020972064317037464,0.14
5,0.021386175552842168,0.15
5,0.02206451077380489,0.16
5,0.023489361702127676,0.17
5,0.02627963573559433,0.18
5,0.02687263560186448,0.19
5,0.03067199176187363,0.2
5,0.03341091673549057,0.21
5,0.03766442638272349,0.22
5,0.04144456289978682,0.23
5,0.052080402638406964,0.24
5,0.055526331170728804,0.25
5,0.06371575082948167,0.26
5,0.06430642591146696,0.27
5,0.06438201429516122,0.28
5,0.06504426148530706,0.29
5,0.06850919938421018,0.3
5,0.07213930348258701,0.31
5,0.09599506500901578,0.32
5,0.09808878956672551,0.33
5,0.13086321607258466,0.34
5,0.13371170726548454,0.35
5,0.13730684870739585,0.36
5,0.15690093814596917,0.37
5,0.15980370120626364,0.38
5,0.16914793067478961,0.39
5,0.17843370825983706,0.4
5,0.1840434623367111,0.41
5,0.18653391106603978,0.42
5,0.18903679053429467,0.43
5,0.20032478347768157,0.44
5,0.2082309026835787,0.45
5,0.2412930472843391,0.46
5,0.2413864674138646,0.47
5,0.25215807024148873,0.48
5,0.25346234860452865,0.49
5,0.2573110418234599,0.5
5,0.27166504381694256,0.51
5,0.2864942917738369,0.52
5,0.29206608318252747,0.53
5,0.31936068545065077,0.54
5,0.3217404339841847,0.55
5,0.328020271374857,0.56
5,0.35538127926087615,0.57
5,0.36131942541782447,0.58
5,0.37007059615870297,0.59
5,0.38526727509778347,0.6
5,0.38979882572856717,0.61
5,0.39134806780108056,0.62
5,0.40382403680276013,0.63
5,0.4166209265922629,0.64
5,0.41803894176198386,0.65
5,0.4288021345316668,0.66
5,0.43795069848836854,0.67
5,0.43809955799185474,0.68
5,0.49982628031408516,0.69
5,0.5235331901038782,0.7
5,0.5310644460535843,0.71
5,0.5502477041331544,0.72
5,0.5504868614112313,0.73
5,0.5758199735255185,0.74
5,0.5815923207227556,0.75
5,0.5912626847191194,0.76
5,0.5970528455284554,0.77
5,0.6158405571608505,0.78
5,0.6283333333333334,0.79
5,0.6310094671551381,0.8
5,0.6589815644548072,0.81
5,0.7039840218648166,0.82
5,0.7692845164896591,0.83
5,0.8539175994284354,0.84
5,0.8603134496534299,0.85
5,0.8756756756756756,0.86
5,0.9107142857142858,0.87
5,0.9204708859788715,0.88
5,0.9393686893441819,0.89
5,1.0112315270935959,0.9
5,1.0264236258301542,0.91
5,1.1627984499354138,0.92
5,1.5672362555720656,0.93
5,1.5910320834943952,0.94
5,1.65920560470225,0.95
5,1.691302971892172,0.96
5,1.9343383584589615,0.97
5,2.1553316540722083,0.98
5,2.213863514239656,0.99
5,2.2436600411240577,1.0
