case_id,cores,makespan_cycles,baseline_cycles,speedup,extra_ddr_bytes,spill_bytes,solver_wall_seconds,E0_wall_seconds,run_path,result_sha256,baseline_receipt_sha256
036,3,311345,931510,2.991890025534375,2304,0,1.085445199998503,2.2121818000014173,results/a/q2-yuanzhifang/feedback-20260924/round14g/036-gap_packet/run.json,9c2b95b934e40a40fad36a8fb19b00fa18f8f9c70935cee4b535d5775fea10e7,8834a9206e3e54a777860a4978780f7e4b34ca15aa041faa736da7426c0ee284
037,3,74570,210001,2.8161593133968084,573440,0,0.7730292999985977,1.2325343999982579,results/a/q2-yuanzhifang/feedback-20260924/round14h/037-gap_packet/run.json,6b580bca6db34899c24c4f219a06532cf6034d05e7ad6e68cb56eb9d25cd2dd2,65a59a6621c35be88a161708c5ad22533184da8b19a6b77155966aefd2a5946d
038,3,451310,1364555,3.0235425760563692,6351236,0,3.0406933999984176,4.158439399998315,results/a/q2-yuanzhifang/feedback-20260924/round14h/038-gap_packet/run.json,abae3425783d99ee135401030b1c78b7d5405d1c355344718b58b9d66b3a3122,e60c077b2411b5458d20d6910bd03a902187a6349d2ccd8c9d2be8e0ea846966
039,3,479930,1435262,2.990565290771571,14860288,7856128,1.559575199997198,4.3791328000006615,results/a/q2-yuanzhifang/feedback-20260924/round14h/039-gap_packet/run.json,dd9c0401c289fcf97be338591ad8886696c2274860a70fa0376a755d72af6148,696617acf9cf901b662379a2903ef70b85fa7e1c61eadfbb6c8af8fdd8abdc03
040,3,80839,253454,3.135293608283131,2507768,0,2.1446887999991304,2.560197999999218,results/a/q2-yuanzhifang/feedback-20260924/round14h/040-gap_packet/run.json,feb510cf873a83a5924b67bf4848173bd962bc16d0d8d4dfdbc40220a7143135,11e05e69477085c2c0173cbf16e2050513bb51021880c95275eb1ea8f5e24095
041,3,2002848,6003957,2.997709761299909,50456736,10631168,7.174695699999575,11.441633499998716,results/a/q2-yuanzhifang/feedback-20260924/round14h/041-gap_packet/run.json,872e8a774fab0161e13e0aff5b9155ef11f619099a37dbbe9c94d9698370c8de,46030f30f62356cd3305a36b9cba10c864a391352e5c862be12750ef2c51f796
042,3,540347,1686740,3.1215866841122466,18967456,0,2.3939279000005627,3.6961374999991676,results/a/q2-yuanzhifang/feedback-20260924/round14h/042-gap_packet/run.json,81db0237ff997f883f20095f0c09bb9d0ddf6e9ec30e3cced11cf381d3bb8f95,a86d0c24a3fafd5450934f50af01d6c8ed0e3015487794ee31d13e7e10894e8a
043,3,226748,677656,2.9885864483920477,8546538,0,3.9438012999999046,7.5811708999972325,results/a/q2-yuanzhifang/feedback-20260924/round14h/043-gap_packet/run.json,8556fb8c40b651cd4cae8eec5e0e5741423ed945381ba0afd9e4aebd81057a9e,9325b2a1f44d3884b555fb6df6e3927f29ef8e1db13abb45f9044c9544fd7813
044,3,61441,154407,2.5130938624045833,2225600,0,1.2824760000003153,1.0039612000000488,results/a/q2-yuanzhifang/feedback-20260924/round14h/044-gap_packet/run.json,5a27efe918b12db518afee1cd8a611623bdf8b6dc5fc5eb9f7113f981fab5958,f3b50d8d103599aaaca134f11129674eca6e6eb35224fb65dd744c3250f866d2
045,3,86545,125614,1.4514298919637183,4349952,1097728,1.2857695999991847,1.3616514999994251,results/a/q2-yuanzhifang/feedback-20260924/round14h/045-gap_packet/run.json,7ffba4d03b0338ba4721668b945b590e49eb68dbc91f01f4285976df16169d79,c1f788ae762b2f94ffe72f6f92c50495375b8d5a838da7b08a2ae59b5f92380f
046,3,96282,276455,2.8713051245300263,2925760,0,0.7009322999983851,0.7144847000017762,results/a/q2-yuanzhifang/feedback-20260924/round14h/046-gap_packet/run.json,f1bc26f90e07642230e268d86f301785bd396c0fbc6398ba9fc03d82f9ce6fb0,0d2074f12b59c21b21d7ab1708b262780ff9f26de1835e6a3d56c47769330456
047,3,107851,326508,3.0273989114611823,3614636,0,4.650670299997728,10.318961900000431,results/a/q2-yuanzhifang/feedback-20260924/round14h/047-gap_packet/run.json,905233dca945df23549fca2c1d19a62f61d26b9f8f1be9269516836dfb8a8bf8,88107e4b4421d1ed7c47e7ade912f4548548c1ecf0de8a2afffd71a0b950e78a
